patch5-Time-11_Arja_Incorrect,Time,11,Incorrect
patch5-Lang-50_Arja_Incorrect,Lang,50,Correct
patch10-Lang-59_CapGen_Incorrect,Lang,59,
patch1-Math-82_HDRepair_Incorrect,Math,82,Correct
patch4-Lang-59_CapGen_Incorrect,Lang,59,
patch5-Math-80_CapGen_Incorrect,Math,80,
patch1-Math-32_Elixir_Incorrect,Math,32,Correct
patch1-Time-4_Arja_Incorrect,Time,4,Correct
patch7-Lang-59_CapGen_Incorrect,Lang,59,
patch8-Math-2_Arja_Incorrect,Math,2,Correct
patch1-Chart-9_Jaid_Incorrect,Chart,9,Correct
patch1-Math-85_ACS_Correct,Math,85,Incorrect
patch1-Chart-9_SketchFix_Correct,Chart,9,Correct
patch1-Lang-6_SketchFix_Incorrect,Lang,6,Correct
patch2-Lang-59_CapGen_Incorrect,Lang,59,
patch7-Time-11_Arja_Incorrect,Time,11,Correct
patch3-Chart-25_Arja_Incorrect,Chart,25,Correct
patch8-Math-20_Arja_Incorrect,Math,20,Correct
patch1#2-Math-85_RSRepairA_Incorrect,Math,85,Correct
patch1-Chart-17_LSRepair_Incorrect,Chart,17,Correct
patch1-Math-11_LSRepair_Incorrect,Math,11,Incorrect
patch9-Math-85_SequenceR_Incorrect,Math,85,Incorrect
patch6-Math-85_SequenceR_Incorrect,Math,85,
patch2-Math-5_CapGen_Incorrect,Math,5,
patch2-Chart-1_Jaid_Incorrect,Chart,1,Incorrect
patch1-Time-15_Elixir_Correct,Time,15,Correct
patch4-Math-49_Arja_Incorrect,Math,49,Correct
patch5-Math-80_Arja_Incorrect,Math,80,Correct
patch2-Chart-24_Jaid_Correct,Chart,24,Correct
patch2-Lang-57_CapGen_Correct,Lang,57,
patch8-Math-28_Arja_Incorrect,Math,28,Correct
patch10-Math-80_Arja_Incorrect,Math,80,Correct
patch3-Math-8_Arja_Incorrect,Math,8,Correct
patch4-Chart-1_Arja_Incorrect,Chart,1,Incorrect
patch3-Lang-20_Arja_Incorrect,Lang,20,
patch10-Math-80_CapGen_Incorrect,Math,80,
patch3-Chart-1_SequenceR_Incorrect,Chart,1,Incorrect
patch3-Chart-26_Jaid_Correct,Chart,26,Correct
patch4-Math-2_Arja_Incorrect,Math,2,Correct
patch1-Math-59_SequenceR_Incorrect,Math,59,Correct
patch1-Math-85_Nopol2015_Incorrect,Math,85,Correct
patch1-Chart-17_Elixir_Incorrect,Chart,17,Correct
patch5-Lang-63_Arja_Incorrect,Lang,63,Correct
patch7-Math-80_CapGen_Incorrect,Math,80,
patch2-Math-5_Jaid_Correct,Math,5,Incorrect
patch1-Time-11_Arja_Incorrect,Time,11,Correct
patch5-Chart-13_Arja_Incorrect,Chart,13,Correct
patch1-Math-99_ACS_Correct,Math,99,
patch3-Lang-43_CapGen_Incorrect,Lang,43,
patch1-Math-53_DeepRepair_Incorrect,Math,53,Incorrect
patch1-Lang-27_DeepRepair_Incorrect,Lang,27,Correct
patch1-Closure-92_SequenceR_Incorrect,Closure,92,
patch3-Chart-15_Arja_Incorrect,Chart,15,Correct
patch1#2-Math-22_HDRepair_Correct,Math,22,Correct
patch5-Lang-51_Jaid_Correct,Lang,51,Correct
patch2-Chart-9_Jaid_Correct,Chart,9,Correct
patch1-Math-73_ACS_Incorrect,Math,73,Correct
patch1-Math-33_SketchFix_Incorrect,Math,33,Correct
patch6-Math-80_CapGen_Incorrect,Math,80,
patch1-Lang-44_Elixir_Incorrect,Lang,44,Correct
patch1-Lang-33_SimFix_Correct,Lang,33,Correct
patch9-Closure-92_SequenceR_Incorrect,Closure,92,
patch1-Lang-45_Jaid_Correct,Lang,45,Correct
patch1-Time-4_JGenProg2015_Incorrect,Time,4,Correct
patch2-Lang-51_Arja_Incorrect,Lang,51,Correct
patch1-Lang-35_ACS_Incorrect,Lang,35,Incorrect
patch5-Math-49_Arja_Incorrect,Math,49,Correct
patch1-Math-57_SequenceR_Correct,Math,57,
patch5-Math-2_3sFix_Incorrect,Math,2,Correct
patch3-Lang-51_Jaid_Incorrect,Lang,51,Correct
patch1-Math-50_kPAR_Incorrect,Math,50,
patch1-Math-82_DynaMoth_Incorrect,Math,82,Incorrect
patch1-Math-2_SOFix_Correct,Math,2,Incorrect
patch1-Lang-59_Elixir_Correct,Lang,59,Correct
patch1#1-Lang-63_Developer_Correct,Lang,63,
patch1#1-Math-98_SimFix_Correct,Math,98,
patch1#1-Math-41_Developer_Correct,Math,41,
patch2-Math-73_3sFix_Incorrect,Math,73,Correct
patch1-Lang-55_Nopol2015_Correct,Lang,55,Incorrect
patch1-Math-85_SimFix_Incorrect,Math,85,Correct
patch1-Math-82_Elixir_Correct,Math,82,Correct
patch2-Math-20_Arja_Incorrect,Math,20,Correct
patch2-Lang-6_SketchFix_Incorrect,Lang,6,Correct
patch4-Closure-93_SequenceR_Incorrect,Closure,93,
patch8-Chart-13_3sFix_Incorrect,Chart,13,Correct
patch1-Math-70_SketchFix_Correct,Math,70,Correct
patch3-Chart-13_Arja_Incorrect,Chart,13,Correct
patch1-Math-59_ssFix_Correct,Math,59,Correct
patch1#1-Math-34_Developer_Correct,Math,34,Correct
patch1-Math-32_Jaid_Incorrect,Math,32,Correct
patch1#2-Math-31_GenProgA_Incorrect,Math,31,Correct
patch2-Lang-59_Arja_Incorrect,Lang,59,Correct
patch1-Math-5_3sFix_Incorrect,Math,5,Correct
patch1-Lang-35_Arja_Correct,Lang,35,Incorrect
patch2-Math-2_Arja_Incorrect,Math,2,Incorrect
patch4-Lang-55_Arja_Incorrect,Lang,55,Incorrect
patch4-Lang-50_Arja_Incorrect,Lang,50,Correct
patch1-Chart-13_DynaMoth_Incorrect,Chart,13,Correct
patch3-Lang-55_Arja_Incorrect,Lang,55,Incorrect
patch9-Chart-13_3sFix_Incorrect,Chart,13,Correct
patch1-Chart-5_AVATAR_Incorrect,Chart,5,
patch1#3-Chart-14_kPAR_Incorrect,Chart,14,
patch3-Lang-22_Arja_Incorrect,Lang,22,Incorrect
patch7-Math-20_Arja_Incorrect,Math,20,Correct
patch1#1-Closure-94_Developer_Correct,Closure,94,
patch1#2-Time-2_Developer_Correct,Time,2,
patch3-Math-85_Jaid_Incorrect,Math,85,Correct
patch1#1-Closure-78_GenProgA_Incorrect,Closure,78,
patch1#1-Lang-58_Developer_Correct,Lang,58,
